IndicatorCode,GDO_q20,GDO_q9x1_3,GDO_q9x1_5,GDO_q9x2_3,GDO_q9x3_3,GDO_q9x4_3
YEAR,2017,2017,2017,2017,2017,2017
COUNTRY,,,,,,
AUS,70.0,,15109.0,,,
BGD,0.0,0.0,37.0,,0.0,
BLZ,,0.0,1.0,0.0,,
BRA,,,5155.0,,,
BRN,,0.0,,,,
CAN,,,144003.0,,,
CHE,17.0,0.0,26476.0,,0.0,
CHL,1.0,0.0,1209.0,,,1000.0
COK,,0.0,,,,
CRI,0.0,,,,,
CYP,,0.0,,,,2.0
CZE,,0.0,8452.0,0.0,0.0,
DNK,,,1309.0,,,
DOM,1.0,0.0,,0.0,,0.0
EST,,,326.0,,,
FJI,0.0,,,,,
FRA,47.0,1500.0,385783.0,62731.0,0.0,14260.0
GBR,,,15319.0,303682.0,,
GRD,,0.0,0.0,0.0,,0.0
GUY,,,,0.0,,
HUN,0.0,0.0,65867.0,,,
IRL,,0.0,31200.0,,0.0,2689.0
IRN,,0.0,,,,
ISR,,,,4500.0,0.0,4000.0
ITA,35.0,,,22168.0,0.0,8050.0
JOR,0.0,0.0,,,,
JPN,49.0,34307.0,,,,
KOR,,1902.0,187991.0,,,
LBN,,0.0,,0.0,0.0,0.0
LCA,,0.0,4.0,,,0.0
LTU,,,956.0,,,
MAR,,,60.0,,,
MDV,0.0,0.0,,,,
MMR,1.0,0.0,20.0,0.0,,
MUS,0.0,,,,,
MYS,,0.0,,,,
NLD,43.0,,,70000.0,,
NOR,,,,10767.0,0.0,3505.0
OMN,,14.0,2243.0,,,
POL,,,408178.0,,,
QAT,0.0,0.0,,0.0,,
SGP,,,,,16.0,2000.0
SVN,,0.0,572.0,2581.0,,0.0
SWE,37.0,,,29000.0,,4000.0
SWZ,0.0,0.0,,,0.0,
TGO,0.0,0.0,,,,
THA,,0.0,,,,
TTO,,0.0,,,,
TUN,2.0,0.0,,,,20.0
