IndicatorCode,RHR_IPV,RHR_NPSV
YEAR,2010,2010
COUNTRY,,
GBD_IHME_ASIACEN,22.88547,6.4543
GBD_IHME_ASIAEAS,16.3023,5.86821
GBD_IHME_ASIAPACHI,28.45126,12.20083
GBD_IHME_ASIASE,27.98697,5.27576
GBD_IHME_ASIASOU,41.73425,3.34834
GBD_IHME_AUSASIA,28.28895,16.46479
GBD_IHME_CAR,27.08837,10.31581
GBD_IHME_EUROCEN,27.84805,10.75964
GBD_IHME_EUROEAS,26.13291,6.9727
GBD_IHME_EUROWES,19.29733,11.50298
GBD_IHME_LATAMAND,40.62944,15.3319
GBD_IHME_LATAMCEN,29.50806,11.87921
GBD_IHME_LATAMSOU,23.67529,5.86279
GBD_IHME_LATAMTRO,27.43354,7.68403
GBD_IHME_NORAFRMIDEAS,35.3794,4.52757
GBD_IHME_NORAMEHI,21.31728,13.00533
GBD_IHME_OCEANIA,35.27044,14.85931
GBD_IHME_SUBSAHACEN,65.63952,21.04794
GBD_IHME_SUBSAHAEAS,38.82647,11.45965
GBD_IHME_SUBSAHASOU,29.66877,17.40719
GBD_IHME_SUBSAHAWES,41.74858,9.15435
GLOBAL,28.364378333333335,7.17237
HI_INCOME,19.359071666666665,12.58295
LMI_AFR,35.915456999999996,11.9179
LMI_AMR,30.842507272727275,10.6966
LMI_EMR,30.944153,
LMI_EUR,24.90259375,5.24759
LMI_SEAR,45.191942499999996,4.94191
LMI_WPR,24.010437,6.81255
